,Player,Age,Nation,Club,Position,Min,npG,npxG,Shots,Assists,xAG,npxG + xAG,SCA,Pass Attempts,Pass %,Prog Passes,Prog Carries,Take-Ons,Touches (Att Pen),Prog Passes Rec,Tackles,Inter,Blocks,Clears,Aerials,OVR
147,Mateo Kovačić,29,CRO,Manchester City,Midfielder,2384,58,56,56,45,71,65,80,91,81,88,79,71,23,48,25,32,8,22,11,53.1578947368421
148,Dejan Kulusevski,23,SWE,Tottenham,Att Mid / Winger,2161,21,8,45,44,49,19,67,38,58,27,72,73,81,72,82,86,39,34,10,48.68421052631579
149,Adam Lallana,35,ENG,Brighton,Att Mid / Winger,635,70,3,2,31,16,2,11,74,96,60,1,3,75,18,50,8,9,1,87,32.473684210526315
150,Tariq Lamptey,22,GHA,Brighton,Fullback,498,19,43,82,99,60,50,79,82,76,78,99,54,96,99,50,95,42,1,2,63.473684210526315
151,Aymeric Laporte,29,ESP,Manchester City,Center Back,1297,20,35,84,28,53,37,96,98,97,99,99,38,64,89,4,1,7,8,66,53.8421052631579
152,Yasser Larouci,22,FRA,Sheffield Utd,Fullback,1518,67,52,59,41,37,40,21,10,36,35,93,97,60,63,7,89,46,77,50,51.578947368421055
153,Mario Lemina,30,GAB,Wolves,Midfielder,2310,14,37,38,26,2,13,2,52,87,14,23,67,20,18,90,65,82,88,60,42.0
154,Jefferson Lerma,28,COL,Crystal Palace,Midfielder,2982,73,50,56,11,54,51,24,40,43,34,20,22,61,27,20,78,29,97,89,46.26315789473684
155,Rico Lewis,18,ENG,Manchester City,Fullback,1085,78,52,47,9,69,61,71,88,99,64,51,67,58,26,12,8,23,2,1,46.63157894736842
156,Victor Lindelöf,29,SWE,Manchester Utd,Center Back,2151,20,9,11,28,42,13,48,74,98,49,47,34,10,53,35,31,36,39,40,37.73684210526316
157,Giovani Lo Celso,27,ARG,Tottenham,Midfielder,808,71,94,99,98,99,99,99,81,55,93,95,94,99,96,34,1,52,2,1,71.6842105263158
158,Sean Longstaff,25,ENG,Newcastle Utd,Midfielder,2454,32,80,65,75,68,74,36,29,42,28,29,19,91,88,31,9,39,21,39,47.10526315789474
159,Douglas Luiz,25,BRA,Aston Villa,Midfielder,3079,81,64,55,84,74,68,73,66,55,45,56,53,34,27,69,64,47,35,36,57.1578947368421
160,Saša Lukić,27,SRB,Fulham,Midfielder,1471,51,38,64,11,47,41,65,55,80,11,67,33,59,46,30,35,45,17,66,45.31578947368421
161,Alexis Mac Allister,24,ARG,Liverpool,Midfielder,2730,67,96,97,40,77,94,85,77,73,63,83,87,77,63,57,16,37,3,53,65.52631578947368
162,James Maddison,26,ENG,Tottenham,Att Mid / Winger,2367,75,77,87,94,97,94,97,73,38,94,45,74,50,23,79,59,14,10,9,62.578947368421055
163,Noni Madueke,21,ENG,Chelsea,Att Mid / Winger,794,18,37,42,2,5,7,24,64,77,81,99,99,99,98,64,67,85,87,18,56.473684210526315
164,Harry Maguire,30,ENG,Manchester Utd,Center Back,878,20,47,65,28,3,20,33,84,44,53,82,73,92,74,24,46,64,74,92,53.578947368421055
165,Orel Mangala,25,BEL,Nott'ham Forest,Midfielder,1695,43,20,17,34,4,4,1,3,34,2,18,54,13,7,27,77,47,37,31,24.894736842105264
166,Solly March,29,ENG,Brighton,Att Mid / Winger,2625,81,74,66,71,86,82,87,75,42,71,66,63,65,94,85,91,55,89,74,74.57894736842105
167,Anthony Martial,27,FRA,Manchester Utd,Forward,1245,68,68,29,85,68,67,47,88,93,84,57,78,40,92,33,18,73,20,21,59.421052631578945
168,Gabriel Martinelli,22,BRA,Arsenal,Att Mid / Winger,2949,85,82,61,74,80,83,54,48,54,35,78,65,97,94,26,23,18,35,66,60.94736842105263
169,Lisandro Martínez,25,ARG,Manchester Utd,Center Back,2754,49,15,26,67,63,29,74,84,77,83,81,89,19,23,95,58,96,48,7,57.0
170,Pape Matar Sarr,21,SEN,Tottenham,Midfielder,603,81,96,99,97,88,97,76,72,94,75,66,29,86,51,82,64,49,78,71,76.36842105263158
171,Jean-Philippe Mateta,26,FRA,Crystal Palace,Forward,690,5,37,39,98,68,46,1,15,33,8,38,6,6,28,76,77,16,96,75,40.421052631578945
172,Joël Matip,32,CMR,Liverpool,Center Back,1364,80,84,55,28,52,77,95,87,71,86,98,53,94,34,18,84,1,39,64,63.1578947368421
173,Neal Maupay,27,FRA,Brentford,Forward,1070,1,72,50,4,1,46,2,31,71,2,8,26,21,18,72,90,75,5,31,32.94736842105263
175,Bryan Mbeumo,24,CMR,Brentford,Att Mid / Winger,2803,63,90,47,78,73,84,21,25,15,34,17,29,58,51,20,42,22,76,91,49.26315789473684
176,John McGinn,28,SCO,Aston Villa,Midfielder,2529,56,73,73,59,58,62,68,8,24,45,46,93,73,65,39,14,48,20,30,50.21052631578947
177,Scott McKenna,26,SCO,Nott'ham Forest,Center Back,1357,20,12,15,28,73,33,26,9,10,11,5,36,88,17,2,9,16,96,82,30.94736842105263
178,Dwight McNeil,23,ENG,Everton,Att Mid / Winger,2243,70,16,28,24,72,39,55,41,12,11,41,57,10,11,87,97,99,98,60,48.8421052631579
179,Scott McTominay,26,SCO,Manchester Utd,Midfielder,886,91,98,80,11,35,86,33,15,48,4,77,63,79,59,74,23,71,99,98,60.21052631578947
180,Ben Mee,34,ENG,Brentford,Center Back,2822,77,80,80,63,87,85,71,27,9,27,17,78,98,79,44,30,85,33,94,61.26315789473684
181,Chris Mepham,25,WAL,Bournemouth,Center Back,1613,20,44,34,28,28,30,28,19,45,14,7,44,33,12,78,68,94,98,64,41.473684210526315
182,James Milner,37,ENG,Brighton,Fullback,1136,19,4,19,9,24,10,64,89,63,96,42,63,43,82,97,49,85,35,58,50.05263157894737
183,Tyrone Mings,30,ENG,Aston Villa,Center Back,2730,50,45,15,87,85,65,45,55,56,51,57,53,22,43,1,83,42,74,26,50.26315789473684
184,Tyrick Mitchell,24,ENG,Crystal Palace,Fullback,2954,19,27,10,42,9,6,3,38,20,27,2,39,50,30,58,59,69,75,47,33.1578947368421
185,Kaoru Mitoma,26,JPN,Brighton,Att Mid / Winger,2785,64,83,45,81,70,79,68,45,83,37,95,75,97,84,58,79,36,39,68,67.6842105263158
186,Aleksandar Mitrović,29,SRB,Fulham,Forward,1413,45,59,91,29,37,52,42,53,21,57,20,63,92,7,23,36,84,50,85,49.78947368421053
187,Gonzalo Montiel,26,ARG,Nott'ham Forest,Fullback,1976,60,44,23,72,61,50,56,37,45,43,40,38,66,62,33,81,71,72,31,51.8421052631579
188,Kieffer Moore,31,WAL,Bournemouth,Forward,961,37,68,10,4,1,42,1,69,14,44,19,2,29,25,79,25,82,99,90,38.94736842105263
189,Mason Mount,24,ENG,Manchester Utd,Att Mid / Winger,1664,37,4,24,43,33,8,43,58,52,81,13,11,18,21,41,59,59,66,64,38.68421052631579
190,Mykhailo Mudryk,22,UKR,Chelsea,Att Mid / Winger,1218,9,45,40,33,16,23,15,20,24,11,74,64,57,23,71,1,18,53,35,33.26315789473684
191,Jacob Murphy,28,ENG,Newcastle Utd,Att Mid / Winger,1218,73,64,49,65,76,69,55,24,15,66,86,27,82,85,28,53,69,16,11,53.31578947368421
192,Vitaliy Mykolenko,24,UKR,Everton,Fullback,2120,19,11,17,9,13,5,5,14,37,28,5,18,28,13,60,89,92,99,51,32.26315789473684
193,Reiss Nelson,23,ENG,Arsenal,Att Mid / Winger,544,95,87,99,99,92,92,89,78,91,14,90,83,96,93,82,11,35,97,70,78.57894736842105
194,Pedro Neto,23,POR,Wolves,Midfielder,838,14,88,87,99,99,98,95,24,12,5,99,98,99,99,1,6,1,4,1,54.1578947368421
195,Moussa Niakhate,27,SEN,Nott'ham Forest,Center Back,1038,20,35,15,28,23,13,54,1,1,1,8,3,7,59,57,81,81,46,1,28.105263157894736
196,Eddie Nketiah,24,ENG,Arsenal,Forward,1771,54,91,86,18,18,84,53,43,91,29,89,55,93,69,53,12,60,14,25,54.578947368421055
197,Matheus Nunes,25,POR,Wolves,Midfielder,2326,33,61,42,11,58,57,52,30,46,14,85,97,84,86,71,34,36,47,49,52.26315789473684
199,Darwin Núñez,24,URU,Liverpool,Forward,2098,88,98,99,83,96,99,69,48,29,51,96,67,97,96,61,56,57,37,35,71.6842105263158
200,Christian Nørgaard,29,DEN,Brentford,Midfielder,1854,14,52,47,87,85,70,38,32,17,37,2,12,87,19,88,89,84,94,57,53.21052631578947
201,Angelo Ogbonna,35,ITA,West Ham,Center Back,1412,20,10,14,28,18,6,8,2,36,1,1,3,14,32,4,49,25,88,66,22.36842105263158
202,Amadou Onana,22,BEL,Everton,Midfielder,2547,32,61,61,42,82,73,34,17,58,16,29,36,70,52,64,60,19,58,93,50.36842105263158
203,Frank Onyeka,25,NGA,Brentford,Midfielder,813,14,84,78,90,78,81,56,5,12,12,40,83,91,69,63,50,96,74,27,58.05263157894737
204,Divock Origi,28,BEL,Nott'ham Forest,Forward,1116,7,5,39,35,47,7,31,21,35,54,86,69,21,66,60,2,52,69,39,39.21052631578947
205,Dango Ouattara,21,BFA,Bournemouth,Att Mid / Winger,2169,21,74,70,44,31,59,26,3,3,7,46,69,75,44,98,94,69,99,99,54.26315789473684
206,João Palhinha,28,POR,Fulham,Midfielder,2781,53,63,66,10,1,26,2,27,55,10,2,20,42,3,99,77,72,88,90,42.421052631578945
207,Cole Palmer,21,ENG,Manchester City,Midfielder,500,14,99,99,85,62,97,96,42,76,23,99,99,99,99,2,1,18,5,1,58.73684210526316
209,Emerson Palmieri,29,ITA,West Ham,Fullback,1673,65,56,65,9,46,47,57,27,60,23,61,29,71,29,65,53,51,81,59,50.21052631578947
210,Lucas Paquetá,26,BRA,West Ham,Att Mid / Winger,2512,17,24,50,30,24,15,24,89,69,95,1,33,8,1,99,86,87,97,93,49.578947368421055
211,Thomas Partey,30,GHA,Arsenal,Midfielder,2541,69,48,50,11,28,36,64,94,92,96,62,80,47,32,75,60,16,76,75,58.473684210526315
212,Nathan Patterson,21,SCO,Everton,Fullback,1013,20,53,51,54,60,53,5,55,36,9,34,36,41,37,96,43,90,72,21,45.578947368421055
213,Andreas Pereira,27,BRA,Fulham,Att Mid / Winger,2464,31,56,44,52,39,51,55,45,10,60,8,5,13,10,2,14,10,42,35,30.63157894736842
214,Ivan Perišić,34,CRO,Tottenham,Fullback,2267,54,88,87,98,95,94,92,30,2,16,93,67,99,95,45,54,70,64,91,70.21052631578948
215,Ethan Pinnock,30,JAM,Brentford,Center Back,3150,88,93,52,28,90,95,65,11,21,8,2,25,97,82,69,57,74,99,97,60.68421052631579
216,Pedro Porro,24,ESP,Tottenham,Fullback,1737,91,92,98,89,93,95,92,49,29,46,65,74,71,79,66,57,99,53,1,70.47368421052632
217,Marcus Rashford,25,ENG,Manchester Utd,Att Mid / Winger,3448,97,99,99,39,6,92,39,8,77,25,51,71,91,59,4,10,54,42,55,53.578947368421055
218,Tim Ream,35,USA,Fulham,Center Back,2603,82,49,5,28,7,24,38,82,71,88,80,74,23,24,5,33,59,34,20,43.473684210526315
219,Harrison Reed,28,ENG,Fulham,Midfielder,2565,55,34,16,84,78,59,50,34,35,11,34,11,68,79,19,12,84,53,43,45.21052631578947
220,Sergio Reguilón,26,ESP,Manchester Utd,Fullback,483,19,78,62,9,53,61,75,17,60,41,95,68,86,92,54,25,8,2,83,52.0
221,Bobby Reid,30,JAM,Fulham,Att Mid / Winger,2160,39,32,4,2,3,5,2,39,26,21,11,10,23,37,63,76,35,93,42,29.63157894736842
222,Declan Rice,24,ENG,Arsenal,Midfielder,3167,80,39,53,11,44,39,58,81,83,81,84,68,29,25,44,95,57,77,58,58.21052631578947
223,Chris Richards,23,USA,Crystal Palace,Center Back,490,20,95,58,28,3,83,1,8,44,28,64,3,76,72,75,60,94,98,56,50.8421052631579
224,Richarlison,26,BRA,Tottenham,Att Mid / Winger,1214,32,68,50,33,15,41,11,1,20,8,21,27,88,30,41,10,52,70,94,37.473684210526315
225,Andrew Robertson,29,SCO,Liverpool,Fullback,2915,42,57,29,92,90,86,90,95,66,89,70,41,70,76,20,28,32,49,35,60.89473684210526
226,Antonee Robinson,26,USA,Fulham,Fullback,3060,20,2,2,18,13,1,24,67,31,50,89,80,31,57,36,91,70,53,75,42.63157894736842
227,Rodri,27,ESP,Manchester City,Midfielder,3674,86,85,87,66,72,79,75,99,99,93,87,68,77,32,70,51,42,62,85,74.47368421052632
228,Mads Roerslev,24,DEN,Brentford,Fullback,1159,20,39,18,9,58,42,10,1,4,2,1,20,34,26,58,29,20,94,37,27.473684210526315
229,Cristian Romero,25,ARG,Tottenham,Center Back,2871,76,68,41,63,80,77,69,73,77,69,73,63,30,65,95,81,87,44,55,67.6842105263158
230,Joe Rothwell,28,ENG,Bournemouth,Midfielder,1226,14,5,5,43,48,22,49,35,57,9,39,91,13,27,39,30,54,15,1,31.36842105263158
231,Bukayo Saka,22,ENG,Arsenal,Att Mid / Winger,3464,84,72,68,82,79,78,83,69,40,41,91,68,96,99,84,28,63,65,39,69.94736842105263
232,Mohamed Salah,31,EGY,Liverpool,Att Mid / Winger,3670,99,99,94,96,81,99,48,26,67,56,49,31,99,87,10,13,16,5,13,57.26315789473684
233,William Saliba,22,FRA,Arsenal,Center Back,2615,52,29,7,69,44,26,23,93,93,76,45,61,19,17,16,18,1,22,54,40.26315789473684
234,Albert Sambi Lokonga,23,BEL,Luton Town,Midfielder,1012,14,9,3,11,7,3,24,49,94,39,22,19,10,1,21,40,6,63,55,25.789473684210527
235,Davinson Sánchez,27,COL,Tottenham,Center Back,628,20,79,62,28,92,84,49,82,55,80,51,71,67,89,67,49,99,42,96,66.42105263157895
236,Jadon Sancho,23,ENG,Manchester Utd,Att Mid / Winger,1732,50,39,8,39,92,70,93,72,96,67,91,65,93,73,36,57,90,23,8,61.1578947368421
237,Pablo Sarabia,31,ESP,Wolves,Att Mid / Winger,1230,9,90,63,11,67,82,59,69,28,69,15,1,24,32,56,17,39,41,28,42.10526315789474
238,Kevin Schade,21,GER,Brentford,Att Mid / Winger,1244,51,58,18,10,13,33,14,1,1,5,40,32,84,47,51,38,5,86,99,36.10526315789474
239,Fabian Schär,31,SUI,Newcastle Utd,Center Back,3206,20,98,99,92,98,99,95,50,17,55,61,32,97,89,35,52,11,46,83,64.6842105263158
240,Jeffrey Schlupp,30,GHA,Crystal Palace,Midfielder,2416,71,71,42,25,45,56,25,8,9,24,36,70,69,62,65,26,60,76,70,47.89473684210526
241,Nélson Semedo,29,POR,Wolves,Fullback,2890,19,15,22,21,1,1,9,51,71,56,39,85,31,60,77,62,72,82,56,43.68421052631579
242,Antoine Semenyo,23,GHA,Bournemouth,Att Mid / Winger,480,86,37,60,2,2,5,1,1,34,5,13,32,19,6,15,40,99,89,99,33.94736842105263
243,Marcos Senesi,26,ARG,Bournemouth,Center Back,2504,84,66,19,72,60,61,55,34,18,33,40,74,26,26,75,81,76,94,2,52.421052631578945
244,Luke Shaw,28,ENG,Manchester Utd,Fullback,3082,41,36,24,64,78,63,70,92,83,81,48,40,34,22,41,73,97,52,86,59.21052631578947
245,Bernardo Silva,29,POR,Manchester City,Midfielder,2869,89,71,47,69,75,71,81,82,75,64,99,87,99,98,37,21,34,2,3,63.36842105263158
246,Thiago Silva,39,BRA,Chelsea,Center Back,2812,20,78,75,64,32,60,59,94,95,56,17,20,79,48,25,35,72,71,60,55.78947368421053
247,Luis Sinisterra,24,COL,Bournemouth,Att Mid / Winger,704,87,90,88,2,2,46,24,30,77,54,58,60,49,65,89,76,82,23,95,57.73684210526316
248,Oliver Skipp,23,ENG,Tottenham,Midfielder,1799,42,5,7,11,12,5,15,44,76,24,35,38,17,45,63,45,44,56,20,31.789473684210527
249,Dominic Solanke,26,ENG,Bournemouth,Forward,2908,20,44,43,84,51,46,36,14,50,32,84,85,73,41,21,64,57,93,37,51.31578947368421
250,Manor Solomon,24,ISR,Tottenham,Att Mid / Winger,696,97,49,56,82,26,39,20,35,97,62,57,97,32,79,98,87,74,62,37,62.421052631578945
251,Tomáš Souček,28,CZE,West Ham,Midfielder,2504,57,74,47,74,49,60,18,6,4,5,8,1,82,42,75,94,77,99,99,51.10526315789474
252,Vinicius Souza,24,BRA,Sheffield Utd,Midfielder,2258,34,20,5,27,3,6,4,11,28,7,11,23,41,9,99,91,73,92,97,35.8421052631579
253,Raheem Sterling,28,ENG,Chelsea,Att Mid / Winger,2290,69,74,43,23,48,64,44,42,54,45,79,58,90,79,22,1,24,19,30,47.78947368421053
254,Dominik Szoboszlai,22,HUN,Liverpool,Att Mid / Winger,3096,41,48,52,68,83,68,94,97,88,87,29,56,10,17,65,46,99,94,31,61.73684210526316
255,James Tarkowski,30,ENG,Everton,Center Back,3239,40,89,90,59,93,93,25,17,27,43,28,69,99,68,46,67,99,81,88,64.26315789473684
256,Nuno Tavares,23,POR,Nott'ham Forest,Fullback,2140,88,94,99,9,41,76,64,53,46,74,92,96,94,99,44,5,60,1,39,61.78947368421053
257,Marcus Tavernier,24,ENG,Bournemouth,Midfielder,1232,99,93,97,99,95,98,59,20,8,9,99,98,98,98,33,17,69,68,61,69.36842105263158
258,Kenny Tete,27,NED,Fulham,Fullback,2393,50,37,33,47,27,27,24,60,31,60,81,72,42,28,83,97,84,87,65,54.473684210526315
259,Luke Thomas,22,ENG,Sheffield Utd,Fullback,1006,19,33,23,9,26,18,14,37,60,16,2,16,2,1,55,99,94,96,52,35.36842105263158
260,Youri Tielemans,26,BEL,Aston Villa,Midfielder,1972,65,23,52,31,75,54,65,77,31,76,52,65,30,54,71,61,71,42,54,55.21052631578947
261,Jurriën Timber,22,NED,Arsenal,Center Back,578,20,29,21,28,3,12,3,95,96,98,96,86,16,89,5,24,8,6,4,38.89473684210526
262,Takehiro Tomiyasu,24,JPN,Arsenal,Fullback,1063,19,79,37,79,36,53,8,89,74,93,41,50,80,34,85,81,4,48,99,57.31578947368421
263,Sandro Tonali,23,ITA,Newcastle Utd,Midfielder,3485,59,62,48,88,91,80,70,47,14,41,76,28,58,70,51,14,29,49,15,52.10526315789474
264,Pau Torres,26,ESP,Aston Villa,Center Back,2934,45,70,21,28,49,59,81,83,56,96,99,99,47,69,42,1,24,62,30,55.8421052631579
265,Adama Traoré,27,ESP,Fulham,Att Mid / Winger,1473,20,4,5,7,67,31,11,15,8,7,89,89,36,69,19,15,4,95,99,36.31578947368421
266,Kieran Trippier,33,ENG,Newcastle Utd,Fullback,3251,19,16,14,85,99,95,99,96,26,98,26,48,19,39,49,61,59,54,83,57.10526315789474
267,Leandro Trossard,28,BEL,Arsenal,Att Mid / Winger,2014,84,61,47,99,94,83,36,63,42,79,44,26,83,66,29,63,85,8,18,58.421052631578945
268,Kostas Tsimikas,27,GRE,Liverpool,Fullback,984,19,53,53,94,82,73,71,90,34,31,60,39,86,90,11,59,35,48,47,56.578947368421055
269,Destiny Udogie,20,ITA,Tottenham,Fullback,2606,47,76,70,88,79,81,83,11,84,44,94,93,86,63,68,73,50,6,26,64.3157894736842
270,Lesley Ugochukwu,19,FRA,Chelsea,Midfielder,1680,14,36,13,35,29,27,3,36,87,21,37,60,20,16,67,83,88,51,76,42.05263157894737
271,Virgil van Dijk,32,NED,Liverpool,Center Back,3132,71,89,95,83,82,89,40,91,89,55,21,18,98,51,6,33,2,74,89,61.89473684210526
272,Raphaël Varane,30,FRA,Manchester Utd,Center Back,2046,60,81,47,28,23,68,79,51,69,63,81,73,72,34,3,2,40,64,46,51.78947368421053
273,Joël Veltman,31,NED,Brighton,Fullback,1941,61,80,58,54,6,39,17,83,89,93,39,4,27,12,85,24,36,45,56,47.78947368421053
274,Micky van de Ven,22,NED,Tottenham,Center Back,2789,47,49,53,65,84,64,42,52,81,56,91,96,33,88,36,3,48,36,10,54.421052631578945
275,Fabio Vieira,23,POR,Arsenal,Midfielder,1155,59,98,99,99,99,99,93,37,46,57,81,35,99,98,1,12,7,4,22,60.26315789473684
276,Carlos Vinícius,28,BRA,Fulham,Forward,1131,74,29,7,65,9,17,1,9,20,18,16,12,42,4,28,2,50,52,58,27.0
277,Kyle Walker,33,ENG,Manchester City,Fullback,2259,19,5,19,9,20,8,25,97,95,90,72,53,41,68,6,23,1,9,55,37.63157894736842
278,Aaron Wan-Bissaka,25,ENG,Manchester Utd,Fullback,2181,19,67,41,32,59,60,49,53,86,45,79,80,83,34,81,92,87,86,45,62.0
279,Joel Ward,33,ENG,Crystal Palace,Fullback,2248,55,68,28,9,1,16,1,31,47,66,9,6,13,8,56,46,67,94,98,37.8421052631579
280,James Ward-Prowse,28,ENG,West Ham,Midfielder,3181,94,70,61,91,87,77,86,69,38,48,13,5,37,41,22,82,25,73,63,56.94736842105263
281,Ollie Watkins,27,ENG,Aston Villa,Forward,2971,61,80,59,75,52,75,55,8,53,18,51,26,61,49,28,64,62,82,43,52.73684210526316
282,Adam Webster,28,ENG,Brighton,Center Back,1625,20,70,73,28,28,53,65,98,89,98,83,44,76,68,26,15,58,13,71,56.63157894736842
283,Danny Welbeck,32,ENG,Brighton,Forward,1644,58,83,85,45,91,86,91,66,98,78,62,50,80,63,64,80,96,87,29,73.26315789473684
284,Ben White,25,ENG,Arsenal,Fullback,3435,64,45,17,71,59,48,46,90,92,97,35,9,66,43,24,12,47,59,50,51.26315789473684
285,Neco Williams,22,WAL,Nott'ham Forest,Fullback,1364,73,40,60,9,5,11,18,3,2,1,59,77,13,10,96,96,98,64,45,41.05263157894737
286,Willian,35,BRA,Fulham,Att Mid / Winger,2201,48,21,34,43,47,32,70,57,72,78,80,43,32,29,8,47,6,54,32,43.8421052631579
287,Callum Wilson,31,ENG,Newcastle Utd,Forward,1851,95,99,88,91,59,97,44,1,36,9,35,49,84,53,30,2,24,12,26,49.1578947368421
288,Harry Wilson,26,WAL,Fulham,Att Mid / Winger,1510,19,16,12,51,3,3,12,27,73,32,4,10,19,38,52,38,77,83,21,31.05263157894737
289,Yoane Wissa,27,COD,Brentford,Forward,1741,54,49,37,45,30,42,31,24,56,39,52,81,32,53,70,84,61,42,43,48.68421052631579
290,Chris Wood,31,NZL,Nott'ham Forest,Forward,745,54,10,1,4,7,4,1,31,12,25,5,1,3,1,32,88,14,55,88,22.94736842105263
291,Joe Worrall,26,ENG,Nott'ham Forest,Center Back,2081,59,34,27,28,54,37,44,11,6,17,5,12,86,20,77,34,45,85,70,39.526315789473685
292,Ryan Yates,25,ENG,Nott'ham Forest,Midfielder,1791,14,53,34,32,8,28,1,2,10,2,24,2,48,34,71,23,70,98,73,33.0
293,Ashley Young,38,ENG,Everton,Fullback,2327,52,22,43,9,18,13,47,51,34,75,21,16,3,3,52,50,35,79,20,33.8421052631579
294,Illia Zabarnyi,21,UKR,Bournemouth,Center Back,1086,20,1,1,28,3,1,51,67,50,58,27,95,20,2,53,15,91,25,14,32.73684210526316
295,Nicolò Zaniolo,24,ITA,Aston Villa,Att Mid / Winger,913,47,82,84,2,15,56,17,1,11,7,63,5,82,40,20,44,54,4,40,35.473684210526315
