Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Malta,0.000000,0.000000,0.000000,0.000000,0.094324,0.092773,0.275207,0.351634,0.429097,0.504454,0.665203,0.550855,0.797704,0.827209,0.670161,0.733022,0.727730,0.501235,0.499677,0.610315,0.606629,0.664069,0.554287,0.441888,0.331317,0.329472,0.276826,0.275494,0.278344,0.447978,0.343447,0.282581,0.337157,0.463836,0.548371,0.582710,0.571849,0.549025,0.509178,0.198023,0.189218,0.202830,0.291718,0.336914,0.366914,0.322832,0.279084,0.172883,0.085084,0.049786,0.088632,0.227520,0.280662,0.349505,0.412979,0.358122,0.303504,0.336216,0.374030,0.420231,0.465927,0.512492,0.537430,0.606664,0.585569,0.553177
Albania,0.000000,0.000000,0.000000,0.194688,0.565942,0.742187,0.917357,0.879084,0.686555,0.672606,0.665203,0.826366,0.907794,1.406537,1.089284,0.930661,0.587963,0.501569,0.000000,0.333141,0.496694,0.581497,0.915215,1.160681,1.160189,0.988911,1.246214,1.295285,1.614927,1.456179,1.832520,1.526377,1.292971,0.754146,0.713327,0.485786,0.484045,0.313829,0.291052,0.154136,0.105093,0.060788,0.136049,0.205767,0.201687,0.286974,0.383807,0.397891,0.374900,0.398986,0.386942,0.364823,0.356495,0.367872,0.469974,0.457439,0.561181,0.556857,0.706502,0.614972,0.597601,0.582834,0.614206,0.459594,0.523463,0.512502
Cyprus,0.000000,0.000000,0.000000,0.000000,0.377294,0.371093,0.458679,0.439542,0.514916,0.168151,0.166301,0.165273,0.165054,0.192944,0.251206,0.253647,0.335811,0.612750,0.555345,0.666116,0.882790,0.830377,0.720856,0.884108,0.828375,0.768878,0.996805,1.102141,1.057906,0.952078,0.973473,0.791430,0.674652,0.638057,1.042416,1.554429,1.672239,1.961728,2.219682,1.674208,1.452354,1.319551,1.089797,1.142339,0.991141,0.879227,1.064500,1.098770,1.031025,1.504754,1.741576,1.706776,2.321313,2.369446,1.986707,1.897840,1.878370,1.559200,1.791190,2.043758,2.167572,2.230845,2.024960,1.799769,1.568614,1.792097
Iceland,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087908,0.257458,0.336303,0.332602,0.330546,0.412634,0.303316,0.279192,0.338253,0.447691,0.334045,0.388508,0.554847,0.606629,0.553419,0.609699,0.497103,0.386343,0.329307,0.608983,0.495922,0.668125,0.728090,0.687238,0.678465,0.843315,0.754146,1.097401,1.263074,1.276262,1.294752,1.491943,0.837038,0.799818,0.649543,0.564284,0.393104,0.367024,0.520321,0.506017,0.519065,0.613481,0.664977,0.523953,0.466811,0.485401,0.478251,0.576786,0.680839,0.741183,0.703951,0.685722,0.594473,0.435540,0.391905,0.412670,0.533129,0.680182,0.879876
Soviet Union,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.834714,2.285618,3.432775,3.363029,3.908069,2.479097,3.190980,3.157759,4.161569,5.132678,5.985963,5.859999,5.800126,5.505159,4.644086,4.494139,4.320811,3.924098,4.626834,5.589984,6.067565,6.159753,6.273589,5.371363,4.633015,4.336410,4.210842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
Russia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.395461,5.350367,4.561991,3.327312,2.927113,2.933011,3.678235,3.697832,3.375381,3.187062,2.364580,2.193771,2.763776,3.333620,3.750998,4.474046,4.751619,4.237200,4.210155,4.354408,4.091274,4.015969,4.297629,4.326985,4.247411,4.436997,4.144832,3.690868,3.085561,2.647381,1.927720,1.630010,1.472881
Israel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.870236,1.728580,1.773201,1.903434,1.932417,1.828519,1.525625,1.710413,1.720582,2.491166,2.696999,2.340603,2.355444,2.255819,1.994441,1.610657,1.521516,1.826338,2.071787,2.002780,2.019941,2.296463,1.787204,1.577661,1.628544,1.807813,1.527181,1.590228,1.959526,1.871408,1.838375,2.209191,2.058142
Latvia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.870236,1.152387,1.238879,1.474316,1.628240,1.255258,0.870086,1.052445,0.954092,0.836734,0.749010,0.660687,0.717595,0.750229,0.899617,0.903093,0.914306,0.798073,0.698287,0.534742,0.511365,0.534061,0.361696,0.455298,0.514830,0.467538,0.461229,0.617859,0.592882,0.662191,0.781309,0.754141,0.797225
Ukraine,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.638057,1.152222,1.505894,2.068347,2.118643,2.410733,2.682302,2.926182,2.903330,3.031393,2.762628,2.437095,2.675907,2.785609,3.060503,3.078144,4.175438,3.826843,4.132557,4.108704,4.393801,3.500536,3.843849,3.801888,3.583469,3.418887,3.189657,2.925209,2.660936,2.441468,2.169282,1.987384,1.587942
Slovenia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.348094,0.713327,1.117323,1.364198,1.530066,1.746531,1.431769,1.494417,1.461593,1.381749,1.048727,1.009536,1.040750,1.064500,1.029513,1.013947,0.906125,0.673157,0.576710,0.648537,0.857250,0.939948,1.159555,1.111775,1.103207,1.205209,1.229945,1.053399,1.145569,1.151636,0.919187,0.940459,1.323914
Faroe Islands,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087024,0.246940,0.218626,0.396109,0.353146,0.309284,0.165107,0.178734,0.081010,0.136049,0.130922,0.091646,0.107575,0.174362,0.172883,0.187347,0.216005,0.177264,0.133348,0.128906,0.139784,0.181581,0.297867,0.307062,0.294189,0.311692,0.327985,0.303865,0.492394,0.556624,0.643431,0.736397,0.699606
Liechtenstein,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.493880,0.437251,0.396109,0.588577,0.545859,0.132192,0.126314,0.182730,0.116781,0.224759,0.220302,0.430730,0.471250,0.623003,0.562452,0.548743,0.435418,0.376689,0.364142,0.309062,0.384524,0.510630,0.889420,0.924593,1.080532,1.106950,1.093915,0.723517,0.499042,0.808885,0.709780,0.520637
Lithuania,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.364376,0.528145,0.706293,0.800557,0.638750,0.589253,0.547945,0.447387,0.449294,0.458780,0.574162,0.610739,0.761310,0.818009,0.964392,0.814329,0.725879,0.625869,0.573972,0.448611,0.382972,0.391768,0.346722,0.446758,0.553475,0.638117,0.703420,0.767757,0.735350,0.603313,0.536907
Estonia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.082313,0.072875,0.264072,0.549260,0.545750,0.341319,0.326142,0.304306,0.194440,0.187112,0.183402,0.268991,0.279084,0.380551,0.443007,0.432210,0.423227,0.357007,0.242701,0.194974,0.245668,0.297867,0.360003,0.441283,0.457148,0.409982,0.354509,0.381856,0.540578,0.557542,0.511539,0.517838
Croatia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.658507,1.676131,1.650453,2.177736,2.856591,2.693274,2.036681,2.436273,2.457182,2.093071,1.913877,1.951743,1.474802,1.111853,1.188716,1.230382,1.193240,1.518432,1.718203,1.729246,1.676952,1.999966,2.022371,2.122361,2.161064,2.244649,2.015639,2.112269,2.084461,1.867789,1.811714,1.758776
Georgia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.493880,1.311754,1.320362,1.883448,2.219791,1.608245,1.220948,1.177510,0.817348,0.636743,0.550646,0.663862,0.662996,0.640032,0.596301,0.664877,0.556174,0.655156,0.788913,0.809389,0.843817,0.797859,0.688241,0.535844,0.415589,0.389482,0.465927,0.552687,0.537430,0.588280,0.541207,0.431152
Slovakia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.384074,1.165858,1.452266,1.883330,2.292500,1.894572,1.620857,1.786487,1.829369,1.535668,1.413460,1.256115,1.291433,1.124728,1.261119,1.463149,1.531898,1.365402,1.354062,1.254615,0.939948,0.957431,1.016480,0.987633,1.007804,1.281192,1.286363,1.095325,1.199621,1.452316,1.392944,1.382941
Belarus,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.246940,0.583002,1.122308,1.353728,1.619346,1.200697,0.957836,0.588755,0.476816,0.383889,0.394562,0.439559,0.462348,0.484385,0.545271,0.864620,1.116703,1.514571,1.657574,1.843334,1.591502,1.765927,1.694133,1.670571,1.548070,1.793669,1.529455,1.225960,0.959697,0.726158,0.470229,0.390478
Czech Republic,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164627,0.728752,2.244616,2.550423,3.074934,3.122897,3.678759,3.020033,3.109286,3.141011,3.643251,3.009723,2.782991,2.785343,2.633296,2.070259,2.126293,1.963489,1.852572,2.094999,2.507951,2.478681,2.788966,2.788488,2.508081,2.351244,2.212138,2.138396,2.134365,2.136191,2.558757,2.870010
Moldova,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164627,0.145750,0.660181,0.706293,0.727740,0.572787,0.799944,0.548067,0.603172,0.655398,0.752553,0.681845,0.715462,0.744073,0.766877,0.664977,0.705378,0.729740,0.614398,0.676934,0.886541,0.851049,0.772948,0.798512,0.831179,0.635471,0.546957,0.552687,0.863727,0.900804,0.931586,0.943654
North Macedonia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.145750,0.660181,0.863208,0.946083,0.649722,0.641800,0.426004,0.349992,0.392992,0.532030,0.484248,0.558274,0.605455,0.647433,0.515320,0.515922,0.490354,0.515807,0.463593,0.448611,0.499991,0.508240,0.472803,0.623384,0.655971,0.597601,0.612980,0.537430,0.404442,0.425868,0.401281
Armenia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.145750,0.330091,0.490403,0.527518,0.319375,0.284079,0.263740,0.155552,0.243302,0.311838,0.322832,0.313957,0.363211,0.374797,0.299215,0.290182,0.243247,0.201006,0.154531,0.245668,0.234039,0.349415,0.430776,0.405200,0.430481,0.617859,0.592882,0.623803,0.726158,0.754141,0.797225
Azerbaijan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066018,0.215772,0.200112,0.121088,0.157766,0.202830,0.136049,0.130922,0.128326,0.143433,0.209340,0.328738,0.391875,0.448772,0.531984,0.580571,0.565057,0.754199,0.886541,1.063812,1.260011,1.491956,1.589629,1.557930,1.519326,1.356595,1.305187,1.222519,1.428433,1.277187
Serbia,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132036,0.559148,0.773264,1.090450,1.441870,1.877851,1.907145,2.228600,2.221199,2.288143,2.094338,1.968482,1.712921,1.521516,1.354635,1.341953,1.297255,1.291437,1.206978,1.180831,1.238835,1.292328,1.558460,1.824418,2.066283,2.150455,2.562390,2.380695,1.971414,1.659530
Andorra,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051132,0.049886,0.096760,0.094172,0.091035,0.044152,0.071180,0.070892,0.084622,0.097923,0.110630,0.150135,0.229398,0.267782,0.358159,0.379808,0.425726,0.357808
Bosnia-Herzegovina,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066096,0.063157,0.121820,0.155669,0.486941,0.605721,0.771544,0.855056,1.003554,0.869039,0.864520,0.846550,0.859227,0.766154,0.691681,0.640873,0.638287,0.603535,0.546350,0.550656,0.584224,0.557086,0.643127,0.700579,0.716966,0.709780,0.848052
San Marino,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.025566,0.024943,0.072570,0.086262,0.083388,0.058810,0.085364,0.042467,0.028207,0.027990,0.041476,0.054610,0.053966,0.093736,0.102265,0.146996,0.130032,0.162569
Kazakhstan,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.056190,0.073361,0.071716,0.174467,0.242141,0.264045,0.324158,0.435322,0.411909,0.485492,0.526112,0.704961,0.882964,1.196481,1.281822,1.506511,1.578429,1.559841,1.256107,1.209218,0.928379,0.816247,0.724010
Montenegro,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051132,0.099772,0.205614,0.364917,0.398280,0.463593,0.512699,0.478715,0.412945,0.441283,0.415589,0.338235,0.354509,0.401954,0.374282,0.349291,0.405142,0.469094
Gibraltar,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021276,0.084707,0.210135,0.249354,0.327985,0.384896,0.455494,0.415817,0.425841,0.351838,0.355139
Kosovo,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.204991,0.324123,0.468920,0.626951,0.811900,0.819157,0.783623
