Club,Nation,1992/93,1993/94,1994/95,1995/96,1996/97,1997/98,1998/99,1999/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,Total
Bayern Munich,Germany,0,1,0,1,1,2,2,3,3,1,2,0,3,2,0,3,0,2,1,0,4,4,1,2,2,2,3,3,4,2,2,0,56
Barcelona,Spain,3,1,1,0,3,3,1,0,0,0,0,0,1,3,1,0,3,4,3,4,1,1,3,4,2,2,2,0,1,0,2,0,49
Real Madrid,Spain,1,2,1,0,1,2,1,1,1,2,3,1,0,0,1,1,1,0,1,1,1,2,2,1,4,4,1,2,0,3,3,3,47
Paris Saint-Germain,France,1,1,2,2,0,2,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,3,4,4,3,4,2,4,2,1,2,3,47
Manchester United,England,1,3,1,2,2,1,3,2,1,0,1,2,0,1,1,3,4,1,2,1,1,1,0,1,3,0,0,0,0,0,1,1,40
Juventus,Italy,1,0,2,2,3,2,0,1,0,1,2,1,0,0,0,0,0,0,0,1,2,2,2,3,2,2,2,1,2,0,0,1,35
Chelsea,England,0,0,0,0,1,2,1,1,1,0,0,0,2,2,2,0,1,3,0,2,1,0,2,0,1,1,1,0,1,2,0,0,27
Inter Milan,Italy,0,1,0,0,0,1,0,0,0,0,0,0,1,3,2,1,2,3,3,0,0,0,0,0,0,0,0,0,1,2,2,2,24
Manchester City,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,1,0,2,4,2,2,1,3,3,23
Arsenal,England,2,1,0,0,0,2,1,1,0,2,2,1,2,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,1,0,0,1,23
Milan,Italy,2,3,2,1,0,0,1,0,0,0,2,2,1,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,21
Liverpool,England,0,0,1,0,0,0,0,0,3,2,1,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,3,0,2,1,1,20
Borussia Dortmund,Germany,0,0,1,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,1,0,1,0,0,1,1,0,0,0,15
Atletico Madrid,Spain,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,0,0,1,1,0,1,0,0,0,13
Tottenham Hotspur,England,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2