,Team,Season,Goals,SpG,Yel,Red,Pos%,Pass%,AerialsWon,Rating,Competition
0,Germany,2013-14,18,14.1,6,0,57.6,86.1,15,7.21,FIFA World Cup
1,Netherlands,2013-14,15,12.7,11,0,49.9,82.2,15.6,7.16,FIFA World Cup
2,Belgium,2013-14,6,18.6,7,1,51.3,82.1,19.6,7.13,FIFA World Cup
3,France,2013-14,10,17.8,5,0,55.2,84.6,16.8,7.09,FIFA World Cup
4,Colombia,2013-14,12,11.4,5,0,47.4,78.1,11,7.08,FIFA World Cup
5,Argentina,2013-14,7,15.4,8,0,53.4,84.2,12.3,7.07,FIFA World Cup
6,Switzerland,2013-14,7,16.3,3,0,49.3,81.3,11.8,7.03,FIFA World Cup
7,USA,2013-14,5,11,4,0,45.5,82.0,16.8,6.97,FIFA World Cup
8,Bosnia and Herzegovina,2013-14,4,16,3,0,53.6,85.6,8,6.95,FIFA World Cup
9,Nigeria,2013-14,3,12.8,3,0,48.9,80.9,14.5,6.95,FIFA World Cup
10,Ghana,2013-14,4,18.7,6,0,48.7,79.2,18,6.88,FIFA World Cup
11,Costa Rica,2013-14,5,8.2,10,1,41.8,75.3,13.8,6.87,FIFA World Cup
12,Algeria,2013-14,7,9,6,0,41.7,73.2,15.8,6.85,FIFA World Cup
13,Mexico,2013-14,5,10.8,8,0,49.3,79.9,12.8,6.82,FIFA World Cup
14,Brazil,2013-14,12,16,14,0,52.7,82.3,15.7,6.81,FIFA World Cup
15,Chile,2013-14,6,9.8,7,0,53.1,79.9,13.5,6.81,FIFA World Cup
16,Ecuador,2013-14,3,10.7,5,1,42.9,73.5,16,6.80,FIFA World Cup
17,Greece,2013-14,3,14,6,1,48.0,80.7,18.5,6.79,FIFA World Cup
18,Russia,2013-14,2,13,4,0,51.7,80.5,14.7,6.71,FIFA World Cup
19,Croatia,2013-14,6,13,4,1,49.8,80.6,16.7,6.71,FIFA World Cup
20,South Korea,2013-14,3,11.3,6,0,51.3,82.4,21.7,6.70,FIFA World Cup
21,Spain,2013-14,4,12,3,0,59.1,85.5,12,6.67,FIFA World Cup
22,England,2013-14,2,12.7,4,0,53.7,84.7,14.7,6.67,FIFA World Cup
23,Ivory Coast,2013-14,4,15.7,7,0,54.5,85.8,10,6.66,FIFA World Cup
24,Japan,2013-14,2,16.3,4,0,55.9,83.9,14.3,6.66,FIFA World Cup
25,Italy,2013-14,2,11,3,1,56.6,89.1,8.3,6.62,FIFA World Cup
26,Iran,2013-14,1,8,4,0,35.5,69.8,12.3,6.62,FIFA World Cup
27,Uruguay,2013-14,4,11.8,8,1,46.5,74.2,18.3,6.61,FIFA World Cup
28,Portugal,2013-14,4,17.3,2,1,49.8,85.0,9.3,6.59,FIFA World Cup
29,Australia,2013-14,3,9,6,0,44.3,79.7,12.7,6.39,FIFA World Cup
30,Honduras,2013-14,1,11,5,1,47.3,78.8,13.7,6.35,FIFA World Cup
31,Cameroon,2013-14,1,14,4,1,44.0,79.3,7.3,6.31,FIFA World Cup
0,Belgium,2017-18,16,15.1,11,0,57.5,86.3,13.7,7.06,FIFA World Cup
1,Brazil,2017-18,8,20.8,7,0,56.3,87.9,14.6,7.06,FIFA World Cup
2,France,2017-18,14,11.6,12,0,48.5,81.5,20.6,6.93,FIFA World Cup
3,Croatia,2017-18,14,16.1,15,0,55.2,81.2,27.6,6.92,FIFA World Cup
4,Russia,2017-18,11,9.6,6,1,31.4,71.0,30.6,6.85,FIFA World Cup
5,England,2017-18,12,13.4,8,0,40.2,85.3,26.4,6.84,FIFA World Cup
6,Uruguay,2017-18,7,12,3,0,32.1,79.6,17.8,6.83,FIFA World Cup
7,Sweden,2017-18,6,11,8,0,37.4,71.9,22.2,6.80,FIFA World Cup
8,Colombia,2017-18,6,9.8,9,1,50.1,79.9,21.8,6.79,FIFA World Cup
9,Spain,2017-18,7,18,2,0,74.5,91.0,15.5,6.77,FIFA World Cup
10,Denmark,2017-18,3,9.8,6,0,16.1,79.3,26.5,6.77,FIFA World Cup
11,South Korea,2017-18,3,11.3,10,0,37.0,77.2,13,6.76,FIFA World Cup
12,Nigeria,2017-18,3,13,4,0,46.2,76.1,21.3,6.75,FIFA World Cup
13,Mexico,2017-18,3,15,9,0,59.7,83.6,13.8,6.72,FIFA World Cup
14,Portugal,2017-18,6,13.3,7,0,54.5,82.8,21.8,6.70,FIFA World Cup
15,Serbia,2017-18,2,11,9,0,15.9,78.0,25,6.70,FIFA World Cup
16,Peru,2017-18,2,10.3,5,0,37.3,81.0,15,6.67,FIFA World Cup
17,Japan,2017-18,6,10.5,5,0,25.8,83.9,21.8,6.67,FIFA World Cup
18,Germany,2017-18,2,24,2,1,74.7,88.5,16,6.66,FIFA World Cup
19,Switzerland,2017-18,5,14.3,9,1,65.3,84.8,13.8,6.64,FIFA World Cup
20,Iran,2017-18,2,7.7,7,0,16.2,62.6,16.7,6.64,FIFA World Cup
21,Argentina,2017-18,6,13.8,11,0,65.9,85.0,18.3,6.57,FIFA World Cup
22,Senegal,2017-18,4,10,6,0,13.6,75.8,21.7,6.56,FIFA World Cup
23,Tunisia,2017-18,5,12,4,0,52.9,82.2,12.3,6.56,FIFA World Cup
24,Poland,2017-18,2,10.3,3,0,29.8,81.1,23.3,6.53,FIFA World Cup
25,Morocco,2017-18,2,11.3,8,0,26.0,78.4,21.3,6.52,FIFA World Cup
26,Costa Rica,2017-18,2,9,6,0,39.4,77.1,18,6.52,FIFA World Cup
27,Iceland,2017-18,2,11,3,0,32.7,69.4,21,6.51,FIFA World Cup
28,Australia,2017-18,2,11,7,0,29.8,83.7,20.3,6.47,FIFA World Cup
29,Egypt,2017-18,2,9.3,5,0,23.7,77.2,15.3,6.47,FIFA World Cup
30,Saudi Arabia,2017-18,2,12.3,1,0,59.1,86.2,10,6.36,FIFA World Cup
31,Panama,2017-18,2,8,11,0,10.2,81.7,11.7,6.12,FIFA World Cup
0,France,2022-23,16,14.6,8,0,51.5,84.3,15.1,6.91,FIFA World Cup
1,England,2022-23,13,12.6,1,0,63.6,87.9,12,6.89,FIFA World Cup
2,Netherlands,2022-23,10,8.4,9,0,53.2,84.2,16,6.74,FIFA World Cup
3,Argentina,2022-23,15,14.3,16,0,57.2,86.1,12.3,6.74,FIFA World Cup
4,Brazil,2022-23,8,19.2,6,0,55.2,88.2,9,6.74,FIFA World Cup
5,Spain,2022-23,9,12.3,2,0,76.8,90.9,10.3,6.72,FIFA World Cup
6,Germany,2022-23,6,23,3,0,59.8,87.3,12.3,6.70,FIFA World Cup
7,Croatia,2022-23,8,11.3,8,0,54.4,85.7,12.6,6.69,FIFA World Cup
8,Portugal,2022-23,12,13.2,6,0,60.9,85.7,13.2,6.67,FIFA World Cup
9,Cameroon,2022-23,4,9.3,6,1,41.7,79.0,14.3,6.67,FIFA World Cup
10,Tunisia,2022-23,1,10.7,5,0,43.3,76.2,16,6.60,FIFA World Cup
11,Poland,2022-23,3,7.8,7,0,36.6,77.4,13,6.59,FIFA World Cup
12,Uruguay,2022-23,2,11,8,0,48.5,77.9,17.7,6.59,FIFA World Cup
13,Belgium,2022-23,1,11.7,5,0,57.4,86.7,11,6.58,FIFA World Cup
14,Morocco,2022-23,6,8.7,7,1,38.4,80.7,10.3,6.58,FIFA World Cup
15,USA,2022-23,3,11.3,5,0,53.2,84.5,13.8,6.53,FIFA World Cup
16,Ecuador,2022-23,4,10,3,0,53.2,80.7,16.7,6.52,FIFA World Cup
17,Mexico,2022-23,2,13.7,7,0,53.6,78.8,16,6.52,FIFA World Cup
18,Japan,2022-23,5,11,6,0,34.7,77.5,14.8,6.52,FIFA World Cup
19,Denmark,2022-23,1,11.3,5,0,60.4,84.2,17,6.50,FIFA World Cup
20,South Korea,2022-23,5,12.5,6,0,47.9,83.0,18.3,6.50,FIFA World Cup
21,Senegal,2022-23,5,13,7,0,45.0,79.8,18.3,6.48,FIFA World Cup
22,Iran,2022-23,4,11,7,0,35.9,71.5,14.3,6.47,FIFA World Cup
23,Australia,2022-23,4,6.5,7,0,37.3,75.9,18.3,6.45,FIFA World Cup
24,Ghana,2022-23,5,8.7,8,0,41.9,80.2,12.3,6.45,FIFA World Cup
25,Saudi Arabia,2022-23,3,9.7,14,0,44.6,73.7,15.7,6.42,FIFA World Cup
26,Serbia,2022-23,5,10.7,12,0,51.0,79.9,14.3,6.42,FIFA World Cup
27,Switzerland,2022-23,5,9.3,9,0,48.9,82.5,11.3,6.35,FIFA World Cup
28,Costa Rica,2022-23,3,4,6,0,30.2,76.2,12.7,6.26,FIFA World Cup
29,Wales,2022-23,1,8,5,1,45.8,77.5,14,6.25,FIFA World Cup
30,Canada,2022-23,2,11.7,8,0,52.3,84.5,10,6.21,FIFA World Cup
31,Qatar,2022-23,1,6.7,7,0,43.1,81.3,12.3,6.14,FIFA World Cup
